target,model,horizon,imputation_mode,warm_start,rmse
co2_emissions,MT-GRU,1,imputed,False,1409.2332786886818
co2_emissions,MT-GRU,1,no_imputation,False,1431.4692097787677
co2_emissions,MT-GRU,1,imputed,True,1379.9613835886466
co2_emissions,MT-GRU,1,no_imputation,True,1387.0601055015934
co2_emissions,MT-GRU,2,imputed,False,1442.165230792847
co2_emissions,MT-GRU,2,no_imputation,False,1465.0746364457118
co2_emissions,MT-GRU,2,imputed,True,1409.8087151621935
co2_emissions,MT-GRU,2,no_imputation,True,1429.646250059057
co2_emissions,MT-GRU,3,imputed,False,1469.4286040916395
co2_emissions,MT-GRU,3,no_imputation,False,1492.8257611942363
co2_emissions,MT-GRU,3,imputed,True,1437.6137247273105
co2_emissions,MT-GRU,3,no_imputation,True,1456.3322157217754
co2_emissions,ST-GRU,1,imputed,False,1428.3673157519618
co2_emissions,ST-GRU,1,no_imputation,False,1445.2838311842822
co2_emissions,ST-GRU,1,imputed,True,1416.5510837936013
co2_emissions,ST-GRU,1,no_imputation,True,1437.6720237213613
co2_emissions,ST-GRU,2,imputed,False,1457.6660095808384
co2_emissions,ST-GRU,2,no_imputation,False,1475.3193032216648
co2_emissions,ST-GRU,2,imputed,True,1448.4550060972936
co2_emissions,ST-GRU,2,no_imputation,True,1470.2103399626649
co2_emissions,ST-GRU,3,imputed,False,1485.37665947073
co2_emissions,ST-GRU,3,no_imputation,False,1504.135085018066
co2_emissions,ST-GRU,3,imputed,True,1476.3265151384812
co2_emissions,ST-GRU,3,no_imputation,True,1498.4458171873837
gdp_growth,MT-GRU,1,imputed,False,3.656574159665413
gdp_growth,MT-GRU,1,no_imputation,False,3.631188274160485
gdp_growth,MT-GRU,1,imputed,True,3.584032222203154
gdp_growth,MT-GRU,1,no_imputation,True,3.525330468730997
gdp_growth,MT-GRU,2,imputed,False,3.6918478005705007
gdp_growth,MT-GRU,2,no_imputation,False,3.708980337672723
gdp_growth,MT-GRU,2,imputed,True,3.6485265534371982
gdp_growth,MT-GRU,2,no_imputation,True,3.698378863299731
gdp_growth,MT-GRU,3,imputed,False,3.650084443185375
gdp_growth,MT-GRU,3,no_imputation,False,3.6980970424451463
gdp_growth,MT-GRU,3,imputed,True,3.5655361538586297
gdp_growth,MT-GRU,3,no_imputation,True,3.674213812210029
gdp_growth,ST-GRU,1,imputed,False,3.6407454745681904
gdp_growth,ST-GRU,1,no_imputation,False,3.629932610104509
gdp_growth,ST-GRU,1,imputed,True,3.5890288038738696
gdp_growth,ST-GRU,1,no_imputation,True,3.573358562122495
gdp_growth,ST-GRU,2,imputed,False,3.6531489382770257
gdp_growth,ST-GRU,2,no_imputation,False,3.635471915432621
gdp_growth,ST-GRU,2,imputed,True,3.696642708057451
gdp_growth,ST-GRU,2,no_imputation,True,3.7370140166348658
gdp_growth,ST-GRU,3,imputed,False,3.6396154809051833
gdp_growth,ST-GRU,3,no_imputation,False,3.6936263819421145
gdp_growth,ST-GRU,3,imputed,True,3.63104082845147
gdp_growth,ST-GRU,3,no_imputation,True,3.603717364117925
